Date & Time     , T(C)  , H(%) 
2024/4/10 18:0:0 , 21.0 , 70.0
2024/4/10 18:30:0 , 20.90 , 71.0
2024/4/10 19:0:0 , 20.90 , 72.0
2024/4/10 19:30:0 , 20.80 , 73.0
2024/4/10 20:0:0 , 20.70 , 77.0
2024/4/10 20:30:0 , 20.70 , 74.0
2024/4/10 21:0:0 , 20.80 , 73.0
2024/4/10 21:30:0 , 22.30 , 69.0
2024/4/10 22:0:0 , 21.0 , 71.0
2024/4/10 22:30:0 , 20.80 , 71.0
2024/4/10 23:0:0 , 20.60 , 71.0
2024/4/10 23:30:0 , 20.40 , 70.0
2024/4/11 0:0:0 , 20.40 , 69.0
2024/4/11 0:30:0 , 20.30 , 70.0
2024/4/11 1:0:0 , 20.30 , 72.0
2024/4/11 1:30:0 , 20.10 , 74.0
2024/4/11 2:0:0 , 19.90 , 73.0
2024/4/11 2:30:0 , 19.90 , 74.0
2024/4/11 3:0:0 , 19.60 , 76.0
2024/4/11 3:30:0 , 19.40 , 78.0
2024/4/11 4:0:0 , 19.30 , 78.0
2024/4/11 4:30:0 , 19.30 , 79.0
2024/4/11 5:0:0 , 19.10 , 79.0
2024/4/11 5:30:0 , 19.0 , 80.0
2024/4/11 6:0:0 , 18.80 , 81.0
2024/4/11 6:30:0 , 18.80 , 84.0
2024/4/11 7:0:0 , 19.20 , 82.0
2024/4/11 7:30:0 , 18.90 , 81.0
2024/4/11 8:0:0 , 19.10 , 81.0
2024/4/11 8:30:0 , 19.70 , 79.0
2024/4/11 9:0:0 , 20.10 , 78.0
2024/4/11 9:30:0 , 20.50 , 76.0
2024/4/11 10:0:0 , 20.90 , 76.0
2024/4/11 10:30:0 , 21.0 , 75.0
2024/4/11 11:0:0 , 21.20 , 71.0
2024/4/11 11:30:0 , 21.50 , 69.0
2024/4/11 12:0:0 , 21.70 , 70.0
2024/4/11 12:30:0 , 21.70 , 69.0
2024/4/11 13:0:0 , 21.40 , 71.0
2024/4/11 13:30:0 , 21.20 , 72.0
2024/4/11 14:0:0 , 21.30 , 74.0
2024/4/11 14:30:0 , 21.30 , 75.0
2024/4/11 15:0:0 , 21.30 , 75.0
2024/4/11 15:30:0 , 21.50 , 74.0
2024/4/11 16:0:0 , 21.40 , 74.0
2024/4/11 16:30:0 , 21.40 , 75.0
2024/4/11 17:0:0 , 21.50 , 79.0
2024/4/11 17:30:0 , 21.50 , 75.0
2024/4/11 18:0:0 , 21.40 , 79.0
2024/4/11 18:30:0 , 21.10 , 80.0
2024/4/11 19:0:0 , 20.90 , 81.0
2024/4/11 19:30:0 , 20.80 , 81.0
2024/4/11 20:0:0 , 20.20 , 85.0
2024/4/11 20:30:0 , 20.30 , 85.0
2024/4/11 21:0:0 , 20.30 , 85.0
2024/4/11 21:30:0 , 20.20 , 85.0
2024/4/11 22:0:0 , 20.30 , 85.0
2024/4/11 22:30:0 , 20.10 , 85.0
2024/4/11 23:0:0 , 20.50 , 83.0
2024/4/11 23:30:0 , 20.20 , 83.0
2024/4/12 0:0:0 , 20.0 , 85.0
2024/4/12 0:30:0 , 20.0 , 84.0
2024/4/12 1:0:0 , 19.90 , 84.0
2024/4/12 1:30:0 , 19.80 , 85.0
2024/4/12 2:0:0 , 19.70 , 85.0
2024/4/12 2:30:0 , 19.70 , 85.0
2024/4/12 3:0:0 , 19.70 , 85.0
2024/4/12 3:30:0 , 19.70 , 85.0
2024/4/12 4:0:0 , 19.60 , 85.0
2024/4/12 4:30:0 , 19.50 , 85.0
2024/4/12 5:0:0 , 19.20 , 86.0
2024/4/12 5:30:0 , 18.90 , 87.0
2024/4/12 6:0:0 , 18.80 , 88.0
2024/4/12 6:30:0 , 18.80 , 89.0
2024/4/12 7:0:0 , 19.0 , 89.0
2024/4/12 7:30:0 , 19.50 , 87.0
2024/4/12 8:0:0 , 19.90 , 85.0
2024/4/12 8:30:0 , 20.10 , 83.0
2024/4/12 9:0:0 , 20.50 , 83.0
2024/4/12 9:30:0 , 21.0 , 82.0
2024/4/12 10:0:0 , 21.20 , 81.0
2024/4/12 10:30:0 , 21.50 , 79.0
2024/4/12 11:0:0 , 21.70 , 78.0
2024/4/12 11:30:0 , 21.90 , 77.0
2024/4/12 12:0:0 , 22.0 , 76.0
2024/4/12 12:30:0 , 22.10 , 76.0
2024/4/12 13:0:0 , 21.90 , 75.0
2024/4/12 13:30:0 , 21.90 , 74.0
2024/4/12 14:0:0 , 22.20 , 74.0
2024/4/12 14:30:0 , 22.30 , 74.0
2024/4/12 15:0:0 , 22.50 , 74.0
2024/4/12 15:30:0 , 22.50 , 74.0
2024/4/12 16:0:0 , 22.60 , 74.0
2024/4/12 16:30:0 , 22.60 , 72.0
2024/4/12 17:0:0 , 22.60 , 71.0
2024/4/12 17:30:0 , 22.40 , 71.0
2024/4/12 18:0:0 , 22.40 , 71.0
2024/4/12 18:30:0 , 22.50 , 72.0
2024/4/12 19:0:0 , 22.40 , 70.0
2024/4/12 19:30:0 , 22.20 , 70.0
2024/4/12 20:0:0 , 22.10 , 72.0
2024/4/12 20:30:0 , 21.90 , 73.0
2024/4/12 21:0:0 , 21.50 , 73.0
2024/4/12 21:30:0 , 21.30 , 74.0
2024/4/12 22:0:0 , 21.10 , 75.0
2024/4/12 22:30:0 , 21.0 , 77.0
2024/4/12 23:0:0 , 21.20 , 78.0
2024/4/12 23:30:0 , 21.0 , 78.0
2024/4/13 0:0:0 , 20.90 , 78.0
2024/4/13 0:30:0 , 20.90 , 78.0
2024/4/13 1:0:0 , 20.80 , 80.0
2024/4/13 1:30:0 , 20.60 , 80.0
2024/4/13 2:0:0 , 20.40 , 81.0
2024/4/13 2:30:0 , 20.20 , 80.0
2024/4/13 3:0:0 , 20.30 , 81.0
2024/4/13 3:30:0 , 20.30 , 80.0
2024/4/13 4:0:0 , 20.30 , 81.0
2024/4/13 4:30:0 , 20.40 , 81.0
2024/4/13 5:0:0 , 20.40 , 81.0
2024/4/13 5:30:0 , 20.30 , 82.0
2024/4/13 6:0:0 , 20.30 , 83.0
2024/4/13 6:30:0 , 20.20 , 84.0
2024/4/13 7:0:0 , 20.30 , 85.0
2024/4/13 7:30:0 , 20.30 , 85.0
2024/4/13 8:0:0 , 20.50 , 85.0
2024/4/13 8:30:0 , 20.60 , 85.0
2024/4/13 9:0:0 , 20.80 , 84.0
2024/4/13 9:30:0 , 21.20 , 84.0
2024/4/13 10:0:0 , 21.40 , 83.0
2024/4/13 10:30:0 , 21.50 , 83.0
2024/4/13 11:0:0 , 21.50 , 83.0
2024/4/13 11:30:0 , 21.70 , 83.0
2024/4/13 12:0:0 , 21.80 , 82.0
2024/4/13 12:30:0 , 21.70 , 84.0
2024/4/13 13:0:0 , 21.80 , 83.0
2024/4/13 13:30:0 , 22.50 , 79.0
2024/4/13 14:0:0 , 22.50 , 80.0
2024/4/13 14:30:0 , 22.40 , 79.0
2024/4/13 15:0:0 , 22.40 , 79.0
2024/4/13 15:30:0 , 22.40 , 79.0
2024/4/13 16:0:0 , 22.60 , 79.0
2024/4/13 16:30:0 , 22.60 , 80.0
2024/4/13 17:0:0 , 22.60 , 79.0
2024/4/13 17:30:0 , 22.60 , 79.0
2024/4/13 18:0:0 , 22.50 , 79.0
2024/4/13 18:30:0 , 22.40 , 79.0
2024/4/13 19:0:0 , 22.30 , 79.0
2024/4/13 19:30:0 , 22.20 , 80.0
2024/4/13 20:0:0 , 22.20 , 80.0
2024/4/13 20:30:0 , 22.10 , 82.0
2024/4/13 21:0:0 , 22.20 , 83.0
2024/4/13 21:30:0 , 22.20 , 83.0
2024/4/13 22:0:0 , 22.0 , 84.0
2024/4/13 22:30:0 , 22.0 , 85.0
2024/4/13 23:0:0 , 22.0 , 85.0
2024/4/13 23:30:0 , 21.90 , 85.0
2024/4/14 0:0:0 , 21.80 , 86.0
2024/4/14 0:30:0 , 21.70 , 86.0
2024/4/14 1:0:0 , 21.60 , 87.0
2024/4/14 1:30:0 , 21.30 , 89.0
2024/4/14 2:0:0 , 21.40 , 89.0
2024/4/14 2:30:0 , 21.20 , 90.0
2024/4/14 3:0:0 , 21.10 , 91.0
2024/4/14 3:30:0 , 21.10 , 91.0
2024/4/14 4:0:0 , 21.20 , 91.0
2024/4/14 4:30:0 , 21.0 , 91.0
2024/4/14 5:0:0 , 21.0 , 92.0
2024/4/14 5:30:0 , 21.10 , 92.0
2024/4/14 6:0:0 , 21.10 , 92.0
2024/4/14 6:30:0 , 21.10 , 92.0
2024/4/14 7:0:0 , 21.10 , 91.0
2024/4/14 7:30:0 , 21.20 , 90.0
2024/4/14 8:0:0 , 21.20 , 91.0
2024/4/14 8:30:0 , 21.20 , 91.0
2024/4/14 9:0:0 , 21.50 , 90.0
2024/4/14 9:30:0 , 21.70 , 90.0
2024/4/14 10:0:0 , 22.20 , 89.0
2024/4/14 10:30:0 , 22.70 , 88.0
2024/4/14 11:0:0 , 22.90 , 86.0
2024/4/14 11:30:0 , 23.20 , 84.0
2024/4/14 12:0:0 , 23.40 , 82.0
2024/4/14 12:30:0 , 23.50 , 81.0
2024/4/14 13:0:0 , 23.30 , 81.0
2024/4/14 13:30:0 , 23.40 , 81.0
2024/4/14 14:0:0 , 23.60 , 80.0
2024/4/14 14:30:0 , 23.80 , 80.0
2024/4/14 15:0:0 , 23.80 , 79.0
2024/4/14 15:30:0 , 23.80 , 78.0
2024/4/14 16:0:0 , 23.70 , 78.0
2024/4/14 16:30:0 , 23.70 , 78.0
2024/4/14 17:0:0 , 23.60 , 78.0
2024/4/14 17:30:0 , 23.50 , 77.0
2024/4/14 18:0:0 , 23.50 , 77.0
2024/4/14 18:30:0 , 23.40 , 78.0
2024/4/14 19:0:0 , 23.30 , 79.0
2024/4/14 19:30:0 , 23.30 , 79.0
2024/4/14 20:0:0 , 23.30 , 79.0
2024/4/14 20:30:0 , 23.20 , 79.0
2024/4/14 21:0:0 , 23.10 , 83.0
2024/4/14 21:30:0 , 23.0 , 84.0
2024/4/14 22:0:0 , 23.0 , 87.0
2024/4/14 22:30:0 , 22.80 , 88.0
2024/4/14 23:0:0 , 22.70 , 89.0
2024/4/14 23:30:0 , 22.70 , 89.0
2024/4/15 0:0:0 , 22.40 , 90.0
2024/4/15 0:30:0 , 22.20 , 91.0
2024/4/15 1:0:0 , 22.10 , 91.0
2024/4/15 1:30:0 , 21.90 , 92.0
2024/4/15 2:0:0 , 21.80 , 92.0
2024/4/15 2:30:0 , 21.70 , 94.0
2024/4/15 3:0:0 , 21.60 , 93.0
2024/4/15 3:30:0 , 21.80 , 93.0
2024/4/15 4:0:0 , 21.70 , 93.0
2024/4/15 4:30:0 , 21.40 , 93.0
2024/4/15 5:0:0 , 21.30 , 93.0
2024/4/15 5:30:0 , 21.50 , 93.0
2024/4/15 6:0:0 , 21.30 , 94.0
2024/4/15 6:30:0 , 21.50 , 95.0
2024/4/15 7:0:0 , 21.60 , 95.0
2024/4/15 7:30:0 , 21.70 , 95.0
2024/4/15 8:0:0 , 21.80 , 93.0
2024/4/15 8:30:0 , 21.90 , 92.0
2024/4/15 9:0:0 , 22.0 , 92.0
2024/4/15 9:30:0 , 22.20 , 91.0
2024/4/15 10:0:0 , 22.70 , 90.0
2024/4/15 10:30:0 , 22.90 , 89.0
2024/4/15 11:0:0 , 23.10 , 88.0
2024/4/15 11:30:0 , 23.30 , 87.0
2024/4/15 12:0:0 , 23.40 , 87.0
2024/4/15 12:30:0 , 23.30 , 86.0
2024/4/15 13:0:0 , 23.40 , 85.0
2024/4/15 13:30:0 , 23.40 , 84.0
2024/4/15 14:0:0 , 23.50 , 84.0
2024/4/15 14:30:0 , 23.60 , 84.0
2024/4/15 15:0:0 , 24.10 , 82.0
2024/4/15 15:30:0 , 24.0 , 82.0
2024/4/15 16:0:0 , 24.0 , 81.0
2024/4/15 16:30:0 , 24.10 , 81.0
2024/4/15 17:0:0 , 24.20 , 80.0
2024/4/15 17:30:0 , 24.40 , 80.0
2024/4/15 18:0:0 , 24.20 , 80.0
2024/4/15 18:30:0 , 24.10 , 80.0
2024/4/15 19:0:0 , 24.30 , 80.0
2024/4/15 19:30:0 , 24.10 , 80.0
2024/4/15 20:0:0 , 24.0 , 81.0
2024/4/15 20:30:0 , 24.0 , 82.0
2024/4/15 21:0:0 , 24.20 , 82.0
2024/4/15 21:30:0 , 24.0 , 82.0
2024/4/15 22:0:0 , 24.0 , 82.0
2024/4/15 22:30:0 , 24.20 , 83.0
2024/4/15 23:0:0 , 24.20 , 83.0
2024/4/15 23:30:0 , 24.20 , 83.0
2024/4/16 0:0:0 , 24.10 , 83.0
2024/4/16 0:30:0 , 23.90 , 83.0
2024/4/16 1:0:0 , 23.90 , 83.0
2024/4/16 1:30:0 , 23.90 , 81.0
2024/4/16 2:0:0 , 23.80 , 81.0
2024/4/16 2:30:0 , 23.70 , 79.0
2024/4/16 3:0:0 , 23.40 , 79.0
2024/4/16 3:30:0 , 23.30 , 80.0
2024/4/16 4:0:0 , 23.30 , 81.0
2024/4/16 4:30:0 , 23.10 , 81.0
2024/4/16 5:0:0 , 22.90 , 81.0
2024/4/16 5:30:0 , 22.80 , 80.0
2024/4/16 6:0:0 , 22.60 , 80.0
2024/4/16 6:30:0 , 22.50 , 81.0
2024/4/16 7:0:0 , 22.50 , 81.0
2024/4/16 7:30:0 , 22.40 , 81.0
2024/4/16 8:0:0 , 22.30 , 81.0
2024/4/16 8:30:0 , 22.50 , 81.0
2024/4/16 9:0:0 , 22.30 , 80.0
2024/4/16 9:30:0 , 22.30 , 76.0
2024/4/16 10:0:0 , 22.40 , 74.0
2024/4/16 10:30:0 , 22.70 , 72.0
2024/4/16 11:0:0 , 22.80 , 72.0
2024/4/16 11:30:0 , 23.0 , 74.0
2024/4/16 12:0:0 , 23.0 , 73.0
2024/4/16 12:30:0 , 24.0 , 72.0
2024/4/16 13:0:0 , 24.60 , 70.0
2024/4/16 13:30:0 , 24.60 , 71.0
2024/4/16 14:0:0 , 24.60 , 73.0
2024/4/16 14:30:0 , 24.90 , 74.0
2024/4/16 15:0:0 , 25.20 , 73.0
2024/4/16 15:30:0 , 25.0 , 73.0
2024/4/16 16:0:0 , 24.70 , 74.0
2024/4/16 16:30:0 , 24.50 , 75.0
2024/4/16 17:0:0 , 24.40 , 75.0
2024/4/16 17:30:0 , 24.30 , 75.0
2024/4/16 18:0:0 , 24.40 , 76.0
2024/4/16 18:30:0 , 24.20 , 75.0
2024/4/16 19:0:0 , 24.20 , 75.0
2024/4/16 19:30:0 , 24.0 , 76.0
2024/4/16 20:0:0 , 23.80 , 78.0
2024/4/16 20:30:0 , 23.80 , 79.0
2024/4/16 21:0:0 , 23.80 , 80.0
2024/4/16 21:30:0 , 23.90 , 81.0
2024/4/16 22:0:0 , 23.80 , 80.0
2024/4/16 22:30:0 , 23.80 , 80.0
2024/4/16 23:0:0 , 23.70 , 80.0
2024/4/16 23:30:0 , 23.20 , 81.0
2024/4/17 0:0:0 , 22.80 , 82.0
2024/4/17 0:30:0 , 22.60 , 83.0
2024/4/17 1:0:0 , 22.50 , 83.0
2024/4/17 1:30:0 , 22.60 , 82.0
2024/4/17 2:0:0 , 22.40 , 81.0
2024/4/17 2:30:0 , 22.20 , 80.0
2024/4/17 3:0:0 , 22.20 , 81.0
2024/4/17 3:30:0 , 22.20 , 80.0
2024/4/17 4:0:0 , 21.90 , 81.0
2024/4/17 4:30:0 , 21.50 , 83.0
2024/4/17 5:0:0 , 21.30 , 84.0
2024/4/17 5:30:0 , 21.20 , 84.0
2024/4/17 6:0:0 , 20.90 , 86.0
2024/4/17 6:30:0 , 20.80 , 87.0
2024/4/17 7:0:0 , 20.60 , 88.0
2024/4/17 7:30:0 , 20.10 , 86.0
2024/4/17 8:0:0 , 19.90 , 86.0
2024/4/17 8:30:0 , 19.80 , 86.0
2024/4/17 9:0:0 , 19.50 , 85.0
2024/4/17 9:30:0 , 19.70 , 85.0
2024/4/17 10:0:0 , 19.90 , 85.0
2024/4/17 10:30:0 , 20.30 , 83.0
2024/4/17 11:0:0 , 20.80 , 80.0
2024/4/17 11:30:0 , 21.90 , 76.0
2024/4/17 12:0:0 , 22.30 , 74.0
2024/4/17 12:30:0 , 22.30 , 69.0
2024/4/17 13:0:0 , 22.60 , 66.0
2024/4/17 13:30:0 , 22.30 , 64.0
2024/4/17 14:0:0 , 23.50 , 63.0
2024/4/17 14:30:0 , 24.10 , 60.0
2024/4/17 15:0:0 , 24.20 , 60.0
2024/4/17 15:30:0 , 24.30 , 59.0
2024/4/17 16:0:0 , 24.10 , 58.0
2024/4/17 16:30:0 , 24.0 , 56.0
2024/4/17 17:0:0 , 23.80 , 54.0
2024/4/17 17:30:0 , 23.60 , 53.0
2024/4/17 18:0:0 , 23.60 , 51.0
2024/4/17 18:30:0 , 23.30 , 49.0
2024/4/17 19:0:0 , 23.10 , 50.0
2024/4/17 19:30:0 , 23.0 , 52.0
2024/4/17 20:0:0 , 22.80 , 51.0
2024/4/17 20:30:0 , 22.80 , 53.0
2024/4/17 21:0:0 , 22.80 , 54.0
2024/4/17 21:30:0 , 22.50 , 56.0
2024/4/17 22:0:0 , 22.30 , 58.0
2024/4/17 22:30:0 , 22.10 , 59.0
2024/4/17 23:0:0 , 21.90 , 59.0
2024/4/17 23:30:0 , 21.60 , 61.0
2024/4/18 0:0:0 , 21.20 , 62.0
2024/4/18 0:30:0 , 20.90 , 63.0
2024/4/18 1:0:0 , 20.70 , 64.0
2024/4/18 1:30:0 , 20.60 , 67.0
2024/4/18 2:0:0 , 20.30 , 68.0
2024/4/18 2:30:0 , 20.10 , 70.0
2024/4/18 3:0:0 , 19.90 , 70.0
2024/4/18 3:30:0 , 19.70 , 72.0
2024/4/18 4:0:0 , 19.50 , 73.0
2024/4/18 4:30:0 , 19.40 , 75.0
2024/4/18 5:0:0 , 19.30 , 76.0
2024/4/18 5:30:0 , 19.20 , 77.0
2024/4/18 6:0:0 , 19.10 , 78.0
2024/4/18 6:30:0 , 19.10 , 79.0
2024/4/18 7:0:0 , 19.60 , 79.0
2024/4/18 7:30:0 , 20.40 , 79.0
2024/4/18 8:0:0 , 21.10 , 77.0
2024/4/18 8:30:0 , 21.50 , 75.0
2024/4/18 9:0:0 , 21.80 , 75.0
2024/4/18 9:30:0 , 22.10 , 75.0
2024/4/18 10:0:0 , 22.60 , 73.0
2024/4/18 10:30:0 , 22.80 , 71.0
2024/4/18 11:0:0 , 23.0 , 69.0
2024/4/18 11:30:0 , 23.10 , 69.0
2024/4/18 12:0:0 , 23.50 , 68.0
2024/4/18 12:30:0 , 23.50 , 69.0
2024/4/18 13:0:0 , 23.80 , 66.0
2024/4/18 13:30:0 , 23.70 , 67.0
2024/4/18 14:0:0 , 23.70 , 68.0
2024/4/18 14:30:0 , 23.90 , 67.0
2024/4/18 15:0:0 , 24.10 , 68.0
2024/4/18 15:30:0 , 24.20 , 67.0
2024/4/18 16:0:0 , 24.20 , 67.0
2024/4/18 16:30:0 , 24.0 , 68.0
2024/4/18 17:0:0 , 24.0 , 69.0
2024/4/18 17:30:0 , 24.0 , 69.0
2024/4/18 18:0:0 , 23.90 , 69.0
2024/4/18 18:30:0 , 23.90 , 69.0
2024/4/18 19:0:0 , 23.80 , 68.0
2024/4/18 19:30:0 , 23.70 , 67.0
2024/4/18 20:0:0 , 23.60 , 67.0
2024/4/18 20:30:0 , 23.60 , 66.0
2024/4/18 21:0:0 , 23.60 , 67.0
2024/4/18 21:30:0 , 23.60 , 70.0
2024/4/18 22:0:0 , 23.60 , 71.0
2024/4/18 22:30:0 , 23.60 , 72.0
2024/4/18 23:0:0 , 23.60 , 73.0
2024/4/18 23:30:0 , 23.60 , 73.0
2024/4/19 0:0:0 , 23.60 , 73.0
2024/4/19 0:30:0 , 23.60 , 73.0
2024/4/19 1:0:0 , 23.50 , 72.0
2024/4/19 1:30:0 , 23.30 , 72.0
2024/4/19 2:0:0 , 23.20 , 73.0
2024/4/19 2:30:0 , 23.10 , 73.0
2024/4/19 3:0:0 , 23.0 , 73.0
2024/4/19 3:30:0 , 22.90 , 74.0
2024/4/19 4:0:0 , 22.80 , 75.0
2024/4/19 4:30:0 , 22.70 , 76.0
2024/4/19 5:0:0 , 22.60 , 76.0
2024/4/19 5:30:0 , 22.50 , 76.0
2024/4/19 6:0:0 , 22.40 , 77.0
2024/4/19 6:30:0 , 22.40 , 78.0
2024/4/19 7:0:0 , 22.40 , 78.0
2024/4/19 7:30:0 , 22.50 , 78.0
2024/4/19 8:0:0 , 22.70 , 79.0
2024/4/19 8:30:0 , 22.80 , 77.0
2024/4/19 9:0:0 , 22.80 , 77.0
2024/4/19 9:30:0 , 22.80 , 76.0
2024/4/19 10:0:0 , 22.90 , 76.0
2024/4/19 10:30:0 , 23.0 , 76.0
2024/4/19 11:0:0 , 22.90 , 77.0
2024/4/19 11:30:0 , 22.80 , 78.0
2024/4/19 12:0:0 , 22.90 , 80.0
2024/4/19 12:30:0 , 23.0 , 81.0
2024/4/19 13:0:0 , 23.20 , 82.0
2024/4/19 13:30:0 , 23.10 , 82.0
2024/4/19 14:0:0 , 23.10 , 83.0
2024/4/19 14:30:0 , 23.10 , 83.0
2024/4/19 15:0:0 , 23.10 , 83.0
2024/4/19 15:30:0 , 23.10 , 83.0
2024/4/19 16:0:0 , 23.0 , 83.0
2024/4/19 16:30:0 , 22.90 , 83.0
2024/4/19 17:0:0 , 22.80 , 84.0
2024/4/19 17:30:0 , 22.80 , 83.0
2024/4/19 18:0:0 , 22.70 , 83.0
2024/4/19 18:30:0 , 22.60 , 83.0
2024/4/19 19:0:0 , 22.50 , 82.0
2024/4/19 19:30:0 , 22.50 , 82.0
2024/4/19 20:0:0 , 22.70 , 83.0
2024/4/19 20:30:0 , 22.60 , 81.0
2024/4/19 21:0:0 , 22.50 , 79.0
2024/4/19 21:30:0 , 22.30 , 77.0
2024/4/19 22:0:0 , 22.0 , 77.0
2024/4/19 22:30:0 , 21.80 , 78.0
2024/4/19 23:0:0 , 21.70 , 78.0
2024/4/19 23:30:0 , 21.50 , 77.0
2024/4/20 0:0:0 , 21.50 , 76.0
2024/4/20 0:30:0 , 21.30 , 76.0
2024/4/20 1:0:0 , 21.30 , 77.0
2024/4/20 1:30:0 , 21.30 , 77.0
2024/4/20 2:0:0 , 21.30 , 77.0
2024/4/20 2:30:0 , 21.30 , 78.0
2024/4/20 3:0:0 , 21.20 , 77.0
2024/4/20 3:30:0 , 21.10 , 76.0
2024/4/20 4:0:0 , 21.10 , 75.0
2024/4/20 4:30:0 , 20.90 , 74.0
2024/4/20 5:0:0 , 20.90 , 75.0
2024/4/20 5:30:0 , 20.80 , 75.0
2024/4/20 6:0:0 , 20.80 , 74.0
2024/4/20 6:30:0 , 20.80 , 74.0
2024/4/20 7:0:0 , 20.90 , 74.0
2024/4/20 7:30:0 , 21.30 , 73.0
2024/4/20 8:0:0 , 21.60 , 72.0
2024/4/20 8:30:0 , 21.90 , 72.0
2024/4/20 9:0:0 , 22.10 , 71.0
2024/4/20 9:30:0 , 22.20 , 71.0
2024/4/20 10:0:0 , 22.40 , 70.0
2024/4/20 10:30:0 , 22.50 , 69.0
2024/4/20 11:0:0 , 22.50 , 68.0
2024/4/20 11:30:0 , 22.60 , 66.0
2024/4/20 12:0:0 , 22.60 , 64.0
2024/4/20 12:30:0 , 22.80 , 63.0
2024/4/20 13:0:0 , 22.90 , 62.0
2024/4/20 13:30:0 , 23.0 , 62.0
2024/4/20 14:0:0 , 23.20 , 63.0
2024/4/20 14:30:0 , 23.20 , 63.0
2024/4/20 15:0:0 , 23.40 , 62.0
2024/4/20 15:30:0 , 23.50 , 61.0
2024/4/20 16:0:0 , 23.60 , 61.0
2024/4/20 16:30:0 , 23.60 , 61.0
2024/4/20 17:0:0 , 23.60 , 62.0
2024/4/20 17:30:0 , 23.60 , 62.0
2024/4/20 18:0:0 , 23.60 , 62.0
2024/4/20 18:30:0 , 23.70 , 61.0
2024/4/20 19:0:0 , 23.70 , 61.0
2024/4/20 19:30:0 , 23.70 , 62.0
2024/4/20 20:0:0 , 23.70 , 63.0
2024/4/20 20:30:0 , 23.70 , 62.0
2024/4/20 21:0:0 , 23.60 , 61.0
2024/4/20 21:30:0 , 23.50 , 62.0
2024/4/20 22:0:0 , 23.30 , 62.0
2024/4/20 22:30:0 , 23.10 , 62.0
2024/4/20 23:0:0 , 23.0 , 63.0
2024/4/20 23:30:0 , 22.90 , 64.0
2024/4/21 0:0:0 , 22.80 , 65.0
2024/4/21 0:30:0 , 22.70 , 64.0
2024/4/21 1:0:0 , 22.60 , 65.0
2024/4/21 1:30:0 , 22.60 , 65.0
2024/4/21 2:0:0 , 22.50 , 66.0
2024/4/21 2:30:0 , 22.40 , 66.0
2024/4/21 3:0:0 , 22.40 , 67.0
2024/4/21 3:30:0 , 22.30 , 67.0
2024/4/21 4:0:0 , 22.20 , 68.0
2024/4/21 4:30:0 , 22.10 , 68.0
2024/4/21 5:0:0 , 22.10 , 68.0
2024/4/21 5:30:0 , 22.0 , 68.0
